date,infl
2000-01-01,
2000-04-01,0.0003333333333333339
2000-07-01,-0.002000000000000001
2000-10-01,-0.0006666666666666665
2001-01-01,-0.0016666666666666668
2001-04-01,0.005
2001-07-01,-0.006
2001-10-01,-0.001666666666666667
2002-01-01,0.005333333333333334
2002-04-01,-0.0016666666666666674
2002-07-01,-0.0013333333333333333
2002-10-01,-0.00033333333333333327
2003-01-01,0.003
2003-04-01,-0.003
2003-07-01,-0.0003333333333333334
2003-10-01,0.0003333333333333334
2004-01-01,0.0026666666666666666
2004-04-01,0.0003333333333333335
2004-07-01,-0.006666666666666666
2004-10-01,0.004666666666666666
2005-01-01,0.003333333333333333
2005-04-01,-0.001
2005-07-01,-0.0036666666666666666
2005-10-01,0.002
2006-01-01,0.0019999999999999996
2006-04-01,0.000666666666666667
2006-07-01,-0.009666666666666667
2006-10-01,0.005333333333333334
2007-01-01,0.003
2007-04-01,-0.0006666666666666674
2007-07-01,-0.0006666666666666661
2007-10-01,0.004666666666666668
2008-01-01,-0.003000000000000001
2008-04-01,0.005333333333333334
2008-07-01,-0.010333333333333333
2008-10-01,-0.002666666666666666
2009-01-01,0.009333333333333334
2009-04-01,-0.001333333333333334
2009-07-01,-0.008333333333333333
2009-10-01,0.003333333333333333
2010-01-01,0.003666666666666667
2010-04-01,-0.00033333333333333305
2010-07-01,-0.005000000000000001
2010-10-01,0.0026666666666666666
2011-01-01,0.005666666666666667
2011-04-01,-0.005000000000000001
2011-07-01,-0.0026666666666666666
2011-10-01,0.002
2012-01-01,0.005
2012-04-01,0.000666666666666667
2012-07-01,-0.0036666666666666675
2012-10-01,-0.003
2013-01-01,0.003333333333333334
2013-04-01,-0.000666666666666667
2013-07-01,-0.002
2013-10-01,-0.004333333333333333
2014-01-01,0.005
2014-04-01,0.0026666666666666666
2014-07-01,-0.0036666666666666666
2014-10-01,-0.005
2015-01-01,0.006333333333333333
2015-04-01,0.003000000000000001
2015-07-01,-0.006333333333333334
2015-10-01,-0.002666666666666667
2016-01-01,0.004
2016-04-01,0.004
2016-07-01,-0.003666666666666667
2016-10-01,0.0003333333333333333
2017-01-01,0.0006666666666666666
2017-04-01,0.002666666666666666
2017-07-01,-0.001999999999999999
2017-10-01,-0.002333333333333333
2018-01-01,0.0016666666666666666
2018-04-01,0.006
2018-07-01,-0.007
2018-10-01,-0.002666666666666667
2019-01-01,0.004
2019-04-01,0.003333333333333334
2019-07-01,-0.004666666666666667
2019-10-01,-0.0006666666666666668
