date,pop
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,0.0016411527912616464
2002-02-01,0.0016400115637473789
2002-03-01,0.0016388523906627483
2002-04-01,0.0016376753003477518
2002-05-01,0.0013125651798837623
2002-06-01,0.0009876680264113702
2002-07-01,0.0006629836228064789
2002-08-01,0.0005007694228531534
2002-09-01,0.0003386676275809464
2002-10-01,0.00017667811956556534
2002-11-01,1.4529008559804879e-05
2002-12-01,-0.00014750139454022815
2003-01-01,-0.00030941322147270967
2003-02-01,-0.00043879233695420794
2003-03-01,-0.000568089842683861
2003-04-01,-0.0006973058164589929
2003-05-01,-0.000535559781571493
2003-06-01,-0.0003739317937601072
2003-07-01,-0.00021242172316249253
2003-08-01,-0.00014759498095884283
2003-09-01,-8.281439546209413e-05
2003-10-01,-1.8079917271762724e-05
2003-11-01,-1.7793255665310426e-05
2003-12-01,-1.7509103649615554e-05
2004-01-01,-1.7227455678892056e-05
2004-02-01,7.914330077696263e-05
2004-03-01,0.00017544702077643137
2004-04-01,0.0002716837744038969
2004-05-01,0.00020705926866781965
2004-06-01,0.00014248061724941863
2004-07-01,7.79477712349319e-05
2004-08-01,0.0001418427468351524
2004-09-01,0.0002056928117220025
2004-10-01,0.00026949801334552603
2004-11-01,0.0004292832934602586
2004-12-01,0.0005889388841282539
2005-01-01,0.0007484649445537173
2005-02-01,0.0008113438337673529
2005-03-01,0.0008741547167545605
2005-04-01,0.0009368976980148602
2005-05-01,0.0010638381689425103
2005-06-01,0.0011906655323841164
2005-07-01,0.001317379940459773
2005-08-01,0.0014433330065521943
2005-09-01,0.0015691501270893582
2005-10-01,0.0016948315164739824
2005-11-01,0.0016609358660772955
2005-12-01,0.0016270482922529084
2006-01-01,0.0015931688159120938
2006-02-01,0.001495925651322949
2006-03-01,0.0013987650475613123
2006-04-01,0.0013016868998398934
2006-05-01,0.0012046911035703545
2006-06-01,0.0011077775543277824
2006-07-01,0.0010109461478577941
2006-08-01,0.0008502311506823901
2006-09-01,0.0006896636218769459
2006-10-01,0.0005292433575121436
2006-11-01,0.0004962250134674662
2006-12-01,0.00046323236709255866
2007-01-01,0.00043026539376000983
2007-02-01,0.0005239593464452241
2007-03-01,0.0006175368125234115
2007-04-01,0.000710998008752739
2007-05-01,0.0008043431513371502
2007-06-01,0.0008975724559405762
2007-07-01,0.000990686137708252
2007-08-01,0.0009270341313332153
2007-09-01,0.0008634563575000698
2007-10-01,0.0007999526863891049
2007-11-01,0.0007047860701874242
2007-12-01,0.000609734504219972
2008-01-01,0.000514797779846532
2008-02-01,0.00045026363776301537
2008-03-01,0.00038579648308711967
2008-04-01,0.00032139621598048507
2008-05-01,0.00031933893176017136
2008-06-01,0.0003172553258679045
2008-07-01,0.0003151455073719944
2008-08-01,0.0005329719908893082
2008-09-01,0.0007505186868108638
2008-10-01,0.0009677861378136754
2008-11-01,0.0008747392775241281
2008-12-01,0.0007817849822870926
2009-01-01,0.0006889231150104536
2009-02-01,0.0006565463361987156
2009-03-01,0.0006242120666328788
2009-04-01,0.0005919202230408871
2009-05-01,0.0003733479945253748
2009-06-01,0.00015509174215466714
2009-07-01,-6.284922013932714e-05
2009-08-01,-0.00021983390620405885
2009-09-01,-0.0003766183357214459
