country,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01
austria,0.0520595191071038,-0.0252427139340234,0.0179995622236646,0.0287859563340973,0.0544591534221403,-0.0207604429167247,0.0570500135749085,0.0443326354433786,0.0079261728599213,0.1056643795118432,-0.0929606083446366,-0.0881162385287197,0.0136818557570244,0.1604268737823311,0.0553914508096475,0.0399116056672887,0.0105693852535395,0.022610576653868,0.0756733784630796,0.1099464829046255,0.0315096745284577,0.1000802658145367,0.0757731850961853,0.0380044933159631,0.0300956190978105,-0.0512737968298644,0.0481126252279544,-0.0090306226050351,0.1422901299177823,0.1296339740296801,0.0340117952952425,-0.0040476584555726,-0.0021009765228434,-0.1060574647305401,0.0210160419241205,0.0069844967007703,-0.0181966998122042,0.0712548125066803,0.0432200208927646,0.0209057496641449,-0.032639106642609,0.036895436062359,0.0466380202991558,0.0474356512490707,0.0170027174543889,0.0487268271811736,0.060991342105563,0.0658116630830747,0.0937810966877847,-0.0025475390270734,0.0275783065577961,0.002663926154625,0.0243740974907495,-0.0249772175629345,0.0177629121704292,0.0714860624554489,-0.038789925482348,-0.0169727043077365,-0.0521751013013869,-0.0740477172786988,-0.1347870388180574,-0.0844742249106786,-0.1018314060404144,-0.0433318049457902,-0.0137009017000266,0.0035870381482254,0.0133828676509821,-0.0281379491832716,0.1208003012040386,0.0958586090258819,0.0687142446029334,0.0611568818924688,0.0408395181155327,0.0427968398332119,0.0406902615129816,0.0776037249650833,-0.005031353418591,-0.0186602951746621,-0.0220524418675758,-0.0034070594748563,0.0143172033702434,-0.0306212346645331,-0.053245829103691,-0.031351603837546,0.0006030000028935,-0.0379917529923936,-0.0676993985209257,-0.1461402131735418,-0.0594794108169338,-0.0303100935396543,-0.0877910870766705,-0.1082296391446284,-0.1415466170729011,-0.0187410338150399,-0.0747817597691451,-0.0279510648759782
belgium,-0.0526901078026753,-0.0999139606964298,-0.0779261769437695,-0.0565421937108219,0.0132481950772707,-0.0745890444879009,-0.0757556049444936,-0.084014920078193,-0.0976413642689166,0.1080008222898349,-0.0994491898178964,-0.0864631854317785,0.0620871300262599,0.1520456048563367,0.0145178283895184,0.0042877609735576,-0.0015145340070752,0.0295181300406852,0.0557999235847717,0.0593791974448798,0.0091149043333729,0.0812514042835275,0.0258365106289666,0.0252890663827933,-0.0285493493990109,-0.0490480226797664,0.0595227827151347,-0.0153308649050138,0.0384638421225211,-0.0008605119672822,-0.0200655386085983,-0.0070494968497989,0.0054185891426499,-0.1061881416019936,0.0325937724226363,0.0374087865740833,-0.0420167137335276,0.0454602409287865,-0.0399924799705289,-0.0200102580813528,-0.0470251534848884,-0.0282970698042461,-0.0300716091567458,-0.0244875091127525,-0.0339396922297083,-0.1041473860120554,-0.0043232218927506,-0.0207534649037022,0.0739940535078922,-0.016221018242529,0.0625533766193413,-0.0006491548840585,-0.0698748918687037,-0.0056015812881682,0.0168627679337056,-0.0083400665061326,-0.0037255652239949,-0.0037990017321334,-0.073218485284574,-0.0748909962769346,-0.1503879361962141,-0.1212629984878077,-0.0992743510179146,-0.0756133672516021,0.0191035215248724,-0.0017459186916504,-0.0321475965549815,-0.0135299520314227,0.026706796553217,0.1182543256543482,0.0598189869217016,0.0398898184771034,0.0309446173583651,0.0340089651251922,0.019388674988118,0.1156273596184291,-0.0270885466811172,0.0136957247160829,0.040929865250785,0.0247894367391126,0.0458882567575997,0.0143155067035181,-0.0332210851433494,0.0190808115961331,0.0541859891144049,-0.0421354558332822,-0.0712742685616056,-0.1699064830509833,-0.0283323899089644,-0.0617180710397349,-0.0525035685674204,-0.0266799194169884,-0.0965255354651368,-0.0619103487126508,-0.1025566755952738,-0.0415939658785653
bulgaria,0.0374519939917981,-0.0394701980781597,-0.0143659877155677,-0.0203324958765449,-0.0514486429224092,-0.0510497905560853,-0.0697171240659244,-0.0780641458422906,-0.0509065746151726,-0.0142304033700426,-0.0802986810861234,-0.1028684187909192,0.0250497094165282,0.1832703696483868,0.108285875589658,0.0732234176812163,0.1208224149367076,0.1298411883287649,0.1527063209371704,0.1738116079104159,0.1098051545538538,0.0961399079915992,0.0556360482147226,0.034518476989156,0.031627511783121,-0.0471986082142059,-0.0089680071657625,-0.0265059596028223,-0.0277977575125198,-0.0392601802317429,-0.0696668164219147,-0.0878917116971322,-0.0521794728541173,-0.0381213529419923,0.0253616234146889,0.0218810928611645,-0.0283799004261489,0.0271825251681612,0.0292596125329716,-0.0041653201422597,0.0036246336126239,0.0308019814623818,0.0422007193403466,0.0386274256436429,0.0343551373431481,0.0114722116907195,0.0119758744229194,-0.0076390919830195,0.0606840911898594,0.0207317042350787,0.0098418291825126,0.0104190118834388,0.0347374031464298,0.028495781108127,0.0322412761503372,0.0222109701940276,0.0310124205210442,0.0204784407895282,0.0039991981685787,-0.0033406982502022,-0.0162993411137364,0.0154558846511001,0.0090859038296642,0.0560474598789824,0.0521071969602218,0.0477070588600767,0.0386084087295017,0.0607817946946838,0.0422589622226183,0.0866597010186644,0.1298511457197975,0.13673859508798,0.0503927689287699,-0.0128324771197227,-0.0542625034528434,-0.0047833885926067,-0.0330862772529059,-0.0420631434284182,-0.0296453582568752,-0.0499309462589252,-0.0139213647265989,-0.0357776411615766,-0.07427912513619,-0.0885004560523086,-0.1285207833428678,-0.1382911661165486,-0.0916943164816572,-0.1891096079265857,-0.1740560869640326,-0.169946316798768,-0.1571516838584727,-0.1558537320361637,-0.1772143190677226,-0.1558948895027363,-0.2052943466814554,-0.1444177920836615
croatia,0.164355310608613,-0.0028049587180802,0.1022427132149879,0.0480347922073534,0.0346746027553663,0.0304429935966723,0.0382270957659081,0.0349240062496356,0.0485325041243811,0.1712306633980667,-0.1506180600262006,-0.0845259098870201,0.0044583610007649,0.2279258584137657,0.0946577723177384,0.0290956682581047,0.0620020100916853,0.0740214691369693,0.0635715065636048,0.0776415260608693,0.0627308252098046,0.0994264414017784,0.0686144389039036,0.0033559089457035,0.0259199921300563,-0.07049236189766,0.0734515996806912,-0.0039192638429135,0.0570291698561469,0.0166513358879711,0.0216513873742378,0.021834887637528,0.0209518526148784,-0.1294515213317986,0.0789350787334512,0.0134287701614113,-0.0305371405266932,0.073517022203827,-0.0001922427099607,0.0066455629598891,-0.0225073211750874,0.0164891093965806,0.0130672642295586,0.0059744702632755,0.0108335892576931,0.0728831406162235,0.0209176009465927,0.0276866383962754,0.0781008689684163,-0.0344276425618232,0.0271395157498766,-0.0192508459896032,0.0072295472843002,0.0105228450227237,0.0154609469396049,0.0196442446608386,0.0159891605217268,-0.0261905514049658,-0.0294203538259409,-0.0403879768168131,-0.1320457905843319,-0.0839845048787673,-0.0497620283385806,0.0242428010389161,0.0876844317609304,0.0722495506665552,0.0621882702182219,0.0701406081580664,0.0672682696710076,0.1936233953058987,0.1690467482408664,0.1604245590353024,0.0467274971641913,0.0387437260961505,0.0102027141667342,0.0414108246258777,-0.0523526508497944,-0.0435080059944859,-0.0315125519537495,-0.0505942533620569,-0.0016591936007337,-0.1257156772135843,-0.1404626495834655,-0.1266712158572289,0.0241869260184799,-0.0404759297475791,-0.0792184503784554,-0.1771616065626631,-0.1005673917012721,-0.1014906510280866,-0.1031170169636013,-0.0794129509795524,-0.1215331654168956,-0.0239620508659754,-0.0781852374471618,-0.0480608367421595
czech_republic,-0.117724184412193,-0.1149981220920004,-0.0198666219313992,0.0338835240166197,-0.0078107755764662,-0.050121133800566,0.0440862567490363,0.0223380541271467,0.0059770002833765,0.0865421003839017,-0.1068419777956144,-0.0398216220883469,0.1529390800383581,0.203878546709209,0.0081944039118333,-0.0554426994351295,-0.0076304064941545,-0.0137796277232311,-0.0149168100872927,0.022469554343953,-0.0419075352399076,0.0396589164466014,0.0056510411805348,-0.0521839945518571,0.0090992515895251,-0.0491561632171055,0.0518771128316899,-5.71774576130224e-05,0.0969887339636663,0.0860377174843201,0.0228409843515109,-0.0003327674548287,0.040135169818118,-0.0691299889550585,0.0310087295473735,0.0220482717212071,-0.1062205072063697,-0.0289157497228345,-0.0142374339448139,0.0040416047097906,-0.0240792729571417,-0.0254834744235772,-0.0119800252264106,0.0157687480326202,-0.0266094971679677,-0.0196878068777444,-0.0158029161664039,-0.0024179598897049,0.0802798470616608,-0.026685492956016,0.0144339826666026,-0.0662201087563936,-0.0356591466256581,0.042258226414038,0.0896339688154661,0.0290151358598507,0.0240947042772887,0.0418902843920641,0.0015877609548695,-0.0531342528255578,-0.0435236418841782,0.0469696057899753,-0.0416040506122321,0.0398067993507211,0.0378146043987221,-0.0221958688039762,-0.034712094764508,0.0116575251821515,0.0646645302594848,0.0567352859444838,0.0724980915131361,0.0823217980481381,-0.0505726533276025,-0.0627035521386858,0.0108537146936136,0.0890380591510791,-0.0223949875837448,-0.0227210689259358,-0.046090597535656,-0.0278528750781035,-0.0223297066255199,-0.0498480333677164,-0.0787325210521352,-0.0801250337531342,0.0806260312073483,0.0311582504859195,-0.0711306428325748,-0.22541731648381,-0.0871991846350432,-0.0703847519266887,-0.0622110699181703,-0.0907074735029276,-0.1213307398882008,-0.0306131902980837,-0.0928461204638964,0.0134446235842133
germany,-0.0505702892056696,-0.1080332985835177,-0.03607080525218,0.0031764758291181,0.0574394554816102,-0.0314520886597549,0.0720284439556202,0.0131691344037534,0.0184474896772819,0.1195555056866091,-0.0886574432118081,-0.0576308585079239,0.0308426530888432,0.1632573664250713,-0.0042400382880387,-0.0237220853927055,-0.0102535059364399,0.0062088759830771,0.0147110983657832,0.0567311042355314,-0.0250914227189014,0.0524155674353927,-0.017910166474401,-0.0457147664333419,0.0091143026680668,-0.0668592183488492,0.0372366971855306,-0.0407908700368331,0.0442171315072918,0.0401651010532972,-0.0308681954524168,-0.0213444446277897,-0.0076886716841606,-0.1231445969862079,0.0326059031508982,0.0184173876666982,-0.0606687844268769,0.0357278456840362,0.0006298021010167,0.0135178867581693,-0.0289088795610936,-0.0223267417180075,0.0009923009936585,-0.0071148250798032,-0.0621128212888137,-0.0338745339543429,0.0028775741527979,0.0148341694338078,0.1355826684261032,0.0263966377563313,0.0968484592834144,0.0393604584950928,0.0055800544805073,0.0259156944039595,0.0553609644535448,0.0470094270859853,-0.0061799514896527,0.0057519884583108,-0.022673768574112,-0.0558468008573775,-0.1556782012390343,-0.077884322836649,-0.1419795646962889,-0.096464218230345,-0.0198675786467106,-0.0091590663718754,-0.019316073619656,-0.0044032978092225,0.1127619447161336,0.1182260096712468,0.0677072334878303,0.0524957836572248,0.0370204750157761,0.0239831073273641,0.0412799766356997,0.1307909828765652,-0.0394689068309297,-0.036778910917576,-0.0339877812675268,-0.0235691151217238,0.0268481453170004,-0.0142307173980285,-0.0467398751544934,-0.0023968560406508,0.0589902907188495,-0.0125714291931444,-0.0737718347620735,-0.2400946148827394,-0.0676441476825999,-0.0367118202059337,-0.0762896291596568,-0.0857010780824474,-0.1588279644859191,-0.0596977845440029,-0.1337958513044839,-0.0337220095412575
hungary,0.0666496313980395,-0.0183770920111356,0.0311061696536754,-0.0043978707419505,0.0021241375095577,0.0071860912400651,-0.0363699317673038,-0.0585108838425689,-0.0407804281705139,0.0605679824956695,-0.143163206537622,-0.0966241025965004,0.0061833444918306,0.2031070538287842,0.0279761748397007,-0.0227155959630422,0.0253079870551893,0.0415865100601209,0.0875862775928055,0.1250490376093438,0.0500203102820151,0.0590530082320661,-0.0336161087057327,-0.0982548181393454,0.0206085973114156,-0.0971767739763329,0.0353822475721479,0.0034752894046476,0.0087362763236882,-0.0177513098422501,-0.0479735689799447,-0.0613423129369046,-0.0215838373893575,-0.0823072997241318,0.0906473470932986,0.0476072498943054,-0.009375958760966,0.1329163292074575,0.0802457220386259,0.0080472275980767,0.0206637907789755,0.0370059856452265,0.0489548516080731,0.0500814174384096,0.0584987921561399,0.0491541554123848,0.071371377839938,0.024282934972259,0.0593485208684718,-0.050148821493547,0.0143496140709977,0.004025033305357,0.0114997863696295,0.011150228595266,-0.0120526147935855,-0.043290030205032,-0.0041955572578409,-0.0148845330755662,-0.0556475086948076,-0.0216654913611584,-0.1802565258690514,-0.1370678195311043,-0.1484669581318272,-0.0178965013932987,-0.0022057285068406,-0.0053188959745043,0.0162978899212831,0.0477357740506541,-0.0099579388804222,0.0739362093241631,0.1007719123882573,0.0955416100691444,0.1030777744680264,0.035494787908231,0.0511212425178833,0.0681050169248003,0.0051947355875334,0.0114678703433774,0.0045288042730362,0.0022014247556967,0.0391149211645753,-0.026989740363831,-0.0766872027167338,-0.1131067528405687,0.0214166847152021,0.007838983914727,-0.0495533934568541,-0.152460695556222,-0.0848774609800315,-0.1228699286485728,-0.1056896362640102,-0.1117366654898539,-0.1258130154558756,-0.0558148328314409,-0.0876571036973246,-0.0117136805765589
ireland,-0.118547453455708,-0.0921707850594195,-0.0988659778599618,-0.0529246677296022,-0.0101468359170553,0.2532199866311764,-0.0332327925128232,-0.0578911239960504,-0.0247519720481648,0.0415322167801477,-0.0399097086403301,-0.0534859137382888,0.1157749257285338,-0.0913562588371768,-0.1359688004995263,0.0252171426219085,0.0604081705011694,-0.2775156707301072,0.0099870153692975,0.0128549201917849,0.0192662130997547,0.0555276797544657,0.0674827341775916,0.0595673420844526,-0.0432458545461216,0.1828443183153751,0.2352974630175985,-0.0226817204739937,-0.0887065152436292,0.0228885436495609,-0.0166528758858852,-0.035729886728145,0.0188640565223749,-0.0517763133492721,-0.0554725111993796,-0.0274454419370222,0.0164028594691139,0.0550759571236874,-0.0152697282203355,0.0838070447316994,0.1222668289404467,-0.0031042527180105,0.0447293567731819,0.0907047443830606,-0.0020808057700278,0.0010660589901902,0.1112888666349469,0.0578871345427458,0.0287031305142377,0.0123836030965804,0.1030072950302667,-0.0064902744076213,0.0390564238531858,-0.0029077073624002,-0.0556454752672976,0.0641727674482055,-0.0256096125139357,-0.0311898117677209,0.038308051534809,-0.0347987330876478,-0.0235094137918814,-0.0334946971262155,-0.0827107212728464,-0.070676821269437,-0.0752247886190531,0.0143600382057975,0.093950635792531,-0.0262052702903758,0.0733156673956791,0.0669593068740113,-0.0582869217137762,0.0093440048606048,-0.0180422170442824,-0.0253688912340415,-0.0248712332559222,0.0646930837048493,-0.0603687070572114,0.0141926087287522,-0.0378614441436653,-0.047425010906803,-0.0195971764249556,0.0075174655809213,-0.0137110643307423,0.0078938583589085,-0.0245334753944916,-0.0700683560253381,-0.1170392151157848,-0.1335508800363207,-0.0678231224303438,-0.1592861902057691,-0.1217423055619271,-0.1287070191284627,-0.1235004191446442,-0.1630619851545987,-0.1373210451591902,-0.049533713717988
italy,0.1289991221731838,0.0175051886454866,0.0699246981085295,0.0342249908196663,0.0341289505935442,0.0431653949310124,0.0482446605053965,0.0074905396851576,0.0277485240416908,0.0669809878078702,-0.0605291029499817,-0.0945614304580573,-0.0408649491084958,0.1330706181879932,0.0714791380642623,0.0353106459532384,0.035431732585085,0.0460082567821054,0.0412130557159038,0.0562315323941327,0.0466758675877656,0.063059808874005,0.0709130879938264,0.0758809995898808,0.0465143688602616,-0.0334794380847505,0.047845692816562,0.0060628221683955,0.0742219402171748,0.006463679297493,0.0277501134435951,0.0376139275520337,0.0450148077563987,-0.02408164294987,0.0314490795561539,-0.009823416692086,0.0077009883184224,0.0443593598519242,-0.012180195988634,-0.0005238840206125,-0.0450166558966067,0.0222046468175634,0.0066965256588069,-0.0086213042400018,-0.0131796328357864,0.0069990730265487,0.0410674486243216,0.1011974563489701,0.0818148667268126,0.0093367370787831,0.0556673677259986,-0.0422640127298166,-0.0210299076575992,-0.0172111280369904,-0.0026568543608753,-0.0082267116562384,-0.0111217043955527,-0.036903362808804,-0.0178659663762204,-0.0658405605930276,-0.1100864946142259,-0.085878513923788,-0.0581547026878972,-0.0214014708840828,0.0378497221782225,0.0029114491668025,-0.0061503758649124,0.0111445828888854,-0.0027905102119589,0.1000658091807906,0.0821439043662835,0.0855524763389894,0.0349802726571581,0.0729699592752126,0.0109813290634868,0.0770612219574928,-0.0545201841068418,-0.0315249501273413,-0.027176846091212,-0.0213844843234163,-0.0094287037055593,-0.0771991293062974,-0.0912872648368932,-0.0499170008809031,-0.0585689464776386,-0.0984603540582753,-0.1134742967058493,-0.1772493341907157,-0.1331984566210664,-0.1342740686248298,-0.1248115540286498,-0.092412736553431,-0.1105797610908361,-0.047028587005375,-0.0872951683380804,-0.0825070435480057
lithuania,0.0122620105636102,-0.0555759522422469,-0.043914074384407,0.0166738740822935,-0.0078118708721852,0.0360964217849613,0.1387742678309997,0.0662923363530438,-0.0038039145179453,0.108203240858419,0.0042357650690227,0.0444401068683824,0.0975013375272411,0.1447998823805214,0.0432862555375237,0.0470239223937021,0.024538881540316,-0.0261034106456463,-0.0319670478122198,-0.0224410232040384,-0.0120298539713594,-0.0027377338652065,-0.0298466166504027,-0.1467817819663075,0.0232989467120496,-0.0475225809685646,0.0172238310309715,0.0428342256502851,0.1353508874641242,0.1166242968754325,0.0798953404560727,0.0634263211286594,0.0886652405511689,-0.0181486571590347,0.0799161982732314,0.0503380296784463,-0.0109540031189574,0.1359092449004109,0.1751545104333054,0.0354505072096884,0.0132576650374325,0.0134482667958053,0.0339267327029055,0.0392231272881744,-0.0147260174680106,0.0500658998148679,0.0272536397239804,0.0989178747092616,0.0852662198763098,0.0011481526504759,0.0015171183820434,0.0574861781784434,0.0684068882632615,0.0618096313501972,0.0427019860317017,0.0163235883114722,0.0288547742758069,-0.0097055049114374,-0.0182056575219498,-0.1090083192633422,-0.0140855294490762,0.1185647837398597,-0.0370021133458351,0.0717350302696431,0.0462129721747039,0.0486974808027014,0.0840770113171736,0.1050170446752503,0.1386221484543419,0.1384030628767831,0.1618995015905113,0.1618854959935411,0.0610725098184019,-0.0754814392115221,0.0720788823207456,-0.001694775450904,0.0167259408846938,0.0173367566324067,0.0132183303992725,0.0342018654937064,0.0600729778938102,0.0103393113643512,-0.0051575417414149,0.0448329225531836,-0.0896052165489251,-0.0717856670789629,-0.1051572406693921,-0.1705073996096509,-0.1686069156334895,-0.1480738337815097,-0.166197320026697,-0.1415743281273762,-0.1866121288845441,-0.0594692081457211,-0.160694390623,-0.0536967845220068
