country,date,co2_monthly,pop_monthly,gdp_monthly,co2_monthly_cap,gdp_monthly_cap
austria,2000-01-01,9726927.646,8003000.0,230947800000.0,1.2154101769336498,28857.65337998251
austria,2000-02-01,8532685.059,8004700.0,232121733333.33334,1.0659593812385224,28998.18023577815
austria,2000-03-01,8134567.013,8006400.0,233295666666.66666,1.016008070168865,29138.64741540101
austria,2000-04-01,6546737.758,8008100.0,234469600000.0,0.8175144863325883,29279.054956856184
austria,2000-05-01,5603261.7360000005,8010100.0,235217566666.66666,0.6995245672338674,29365.122366345822
austria,2000-06-01,5014335.79,8012100.0,235965533333.33334,0.6258453826088042,29451.1468071209
austria,2000-07-01,5086068.559,8014100.0,236713500000.0,0.6346400168453102,29537.128311351244
austria,2000-08-01,4677045.3100000005,8015480.0,237271340000.0,0.5835015881768778,29601.638329831774
austria,2000-09-01,5640955.129,8016860.0,237829180000.0,0.7036364772491973,29666.126139161715
austria,2000-10-01,6713320.305000001,8018240.0,238387020000.0,0.8372560942301553,29730.59175080816
austria,2000-11-01,7693260.028,8019620.0,238944860000.0,0.9593048084572585,29795.035176230296
austria,2000-12-01,8617632.708999999,8021000.0,239502700000.0,1.0743838310684453,29859.456426879442
austria,2001-01-01,9542545.264,8028700.0,237766900000.0,1.1885542197366947,29614.620050568585
austria,2001-02-01,8877452.526999999,8031533.333333333,237726933333.33334,1.1053247441750433,29599.196500460686
austria,2001-03-01,8316839.255999999,8034366.666666667,237686966666.66666,1.035158040583991,29583.783828636148
austria,2001-04-01,7379342.608,8037200.0,237647000000.0,0.9181484357736526,29568.382023590304
austria,2001-05-01,5741236.683,8040333.333333333,237936533333.33334,0.7140545603001535,29592.86928402637
austria,2001-06-01,5557920.250999999,8043466.666666667,238226066666.66666,0.6909856758694426,29617.337466432382
austria,2001-07-01,4963339.075,8046600.0,238515600000.0,0.616824382347824,29641.78659309522
austria,2001-08-01,4855754.67,8048620.0,239149000000.0,0.6033027612186934,29713.043975240475
austria,2001-09-01,6338610.282,8050640.0,239782400000.0,0.7873424078085717,29784.265598759852
austria,2001-10-01,7035414.504000001,8052660.0,240415800000.0,0.8736758417715389,29855.451490563366
austria,2001-11-01,9009560.381,8054680.0,241049200000.0,1.1185497600152954,29926.601677534054
austria,2001-12-01,10259410.42,8056700.0,241682600000.0,1.2734010723993694,29997.71618652798
austria,2002-01-01,10052484.0,8068300.0,247039200000.0,1.2459234287272412,30618.494602332587
austria,2002-02-01,8656166.216,8071100.0,248460066666.66666,1.0724890307393045,30783.916277417782
austria,2002-03-01,8467894.104,8073900.0,249880933333.33334,1.048798486976554,30949.223217197803
austria,2002-04-01,7594850.967999999,8076700.0,251301800000.0,0.94034085307118,31114.415541000657
austria,2002-05-01,6062569.926999999,8080066.666666667,252324366666.66666,0.7503118695802838,31228.005544508705
austria,2002-06-01,5443724.84,8083433.333333333,253346933333.33334,0.6734421644268318,31341.500929885406
austria,2002-07-01,5254730.552,8086800.0,254369500000.0,0.6497910857199387,31454.90181530395
austria,2002-08-01,5075866.0819999995,8088780.0,254639080000.0,0.6275193641068244,31480.52982031901
austria,2002-09-01,6389050.839000001,8090760.0,254908660000.0,0.789672520134079,31506.145281778226
austria,2002-10-01,7819502.93,8092740.0,255178240000.0,0.9662367665339551,31531.74820888846
austria,2002-11-01,8209776.250000001,8094720.0,255447820000.0,1.014213740561749,31557.338610847564
austria,2002-12-01,9394074.663999999,8096700.0,255717400000.0,1.16023499252782,31582.916496844395
austria,2003-01-01,10190965.82,8103000.0,258504100000.0,1.2576781216833273,31902.2707639146
austria,2003-02-01,10162442.31,8105333.333333333,258938433333.33334,1.2537969620825795,31946.67297252838
austria,2003-03-01,8950176.91,8107666.666666667,259372766666.66666,1.1039152542860666,31991.04962381285
austria,2003-04-01,7904104.007,8110000.0,259807100000.0,0.9746120847102343,32035.400739827375
austria,2003-05-01,6126987.391,8114333.333333333,260570466666.66666,0.755082043010311,32112.369058867025
austria,2003-06-01,5568212.665,8118666.666666667,261333833333.33334,0.6858530955411397,32189.255214320907
austria,2003-07-01,5667806.073,8123000.0,262097200000.0,0.6977478853871723,32266.05933768312
austria,2003-08-01,5665774.772,8125800.0,262577280000.0,0.6972574727411455,32314.0220039873
austria,2003-09-01,6593573.044,8128600.0,263057360000.0,0.8111572772679182,32361.951627586546
austria,2003-10-01,8642580.908,8131400.0,263537439999.99997,1.0628650549720835,32409.848242615044
austria,2003-11-01,8856032.408,8134200.0,264017519999.99997,1.0887404302820192,32457.711883159987
austria,2003-12-01,9757962.603,8137000.0,264497599999.99997,1.1992088734177215,32505.542583261642
austria,2004-01-01,10502331.11,8147600.0,269752500000.0,1.2890091695714074,33108.21591634346
austria,2004-02-01,9654508.432,8151566.666666667,271104933333.33334,1.1843745904059342,33258.015841535576
austria,2004-03-01,9391320.614,8155533.333333333,272457366666.66666,1.1515274636443151,33407.67004814727
austria,2004-04-01,7833046.357,8159500.0,273809800000.0,0.9599909745695202,33557.178748697836
austria,2004-05-01,7063871.7360000005,8165200.0,275293766666.6667,0.865119254396708,33715.49584415161
austria,2004-06-01,6338917.994,8170900.0,276777733333.3333,0.7757918948952992,33873.59205636262
austria,2004-07-01,5863894.083000001,8176600.0,278261700000.0,0.7171555515740039,34031.46784727148
austria,2004-08-01,5642888.001,8180100.0,278692100000.0,0.6898311757802472,34069.52237747705
austria,2004-09-01,6579734.644,8183600.0,279122500000.0,0.8040146932890171,34107.54435700669
austria,2004-10-01,7772903.611,8187100.0,279552900000.0,0.9494086564229092,34145.53382760684
austria,2004-11-01,9044120.669,8190600.0,279983300000.0,1.104207343662247,34183.490830952556
austria,2004-12-01,9826355.627999999,8194100.0,280413700000.0,1.1991988904211566,34221.415408647685
austria,2005-01-01,10312951.61,8205900.0,280482400000.0,1.2567727622807978,34180.577389439306
austria,2005-02-01,10367540.440000001,8209333.333333334,282088233333.3333,1.2628967565372746,34361.89296735422
austria,2005-03-01,9806112.784,8212766.666666667,283694066666.6667,1.1940084483101512,34543.056947922545
austria,2005-04-01,7998525.772,8216200.000000001,285299900000.0,0.9735067028553345,34724.06952118984
austria,2005-05-01,6837035.28,8221300.000000001,286859600000.0,0.831624594650481,34892.24331918309
austria,2005-06-01,6577163.192,8226400.0,288419300000.0,0.799519010989011,35060.20859671302
austria,2005-07-01,6143852.095,8231500.0,289979000000.0,0.746383052299095,35227.96574135941
austria,2005-08-01,5917012.301,8234720.0,291193480000.0,0.7185444436483572,35361.67349952397
austria,2005-09-01,6692564.502,8237940.0,292407960000.0,0.8124075317373033,35495.27673180431
austria,2005-10-01,8161031.88,8241160.0,293622440000.0,0.9902770823524844,35628.77556072203
austria,2005-11-01,9612902.811,8244380.0,294836920000.0,1.1659946304027715,35762.170108607315
austria,2005-12-01,10494798.870000001,8247600.0,296051400000.0,1.2724670049468938,35895.4604975993
austria,2006-01-01,11326913.73,8257700.000000001,304317800000.0,1.371679006260823,36852.610291001125
austria,2006-02-01,10341162.34,8259600.000000001,305773833333.3333,1.2520173301370525,37020.41664648812
austria,2006-03-01,10080312.37,8261500.0,307229866666.6667,1.2201552224172365,37188.145816942044
austria,2006-04-01,8019861.659999999,8263400.0,308685900000.0,0.9705280707699009,37355.79785560423
austria,2006-05-01,7005729.376,8265933.333333333,310813966666.6667,0.8475424484430071,37601.79935316843
austria,2006-06-01,6414918.6,8268466.666666667,312942033333.3333,0.7758292871713417,37847.650108444126
austria,2006-07-01,6253959.822,8271000.0,315070100000.0,0.756131038810301,38093.35025994438
austria,2006-08-01,6355481.73,8272740.0,315576300000.0,0.7682438623720799,38146.527027321055
austria,2006-09-01,6437930.959,8274480.0,316082500000.0,0.7780465913265848,38199.681430132165
austria,2006-10-01,8023685.961999999,8276220.000000001,316588700000.0,0.9694867901046611,38252.81348248354
austria,2006-11-01,9124208.332,8277960.000000001,317094900000.0,1.102229091708585,38305.92319846919
austria,2006-12-01,9745757.591,8279700.000000001,317601100000.0,1.1770665109846974,38359.01059217121
austria,2007-01-01,9898612.552000001,8285600.0,321536600000.0,1.1946766138843297,38806.67664381578
austria,2007-02-01,9503480.024,8287366.666666667,322811633333.3333,1.1467430374747105,38952.25664766854
