,country,date,pop_quarterly
0,Austria,2000-01,8003000.0
1,Austria,2000-04,8008100.0
2,Austria,2000-07,8014100.0
3,Austria,2000-12,8021000.0
4,Austria,2001-01,8028700.0
5,Austria,2001-04,8037200.0
6,Austria,2001-07,8046600.0
7,Austria,2001-12,8056700.0
8,Austria,2002-01,8068300.0
9,Austria,2002-04,8076700.0
10,Austria,2002-07,8086800.0
11,Austria,2002-12,8096700.0
12,Austria,2003-01,8103000.0
13,Austria,2003-04,8110000.0
14,Austria,2003-07,8123000.0
15,Austria,2003-12,8137000.0
16,Austria,2004-01,8147600.0
17,Austria,2004-04,8159500.0
18,Austria,2004-07,8176600.0
19,Austria,2004-12,8194100.0
20,Austria,2005-01,8205900.0
21,Austria,2005-04,8216200.000000001
22,Austria,2005-07,8231500.0
23,Austria,2005-12,8247600.0
24,Austria,2006-01,8257700.000000001
25,Austria,2006-04,8263400.0
26,Austria,2006-07,8271000.0
27,Austria,2006-12,8279700.000000001
28,Austria,2007-01,8285600.0
29,Austria,2007-04,8290900.0
30,Austria,2007-07,8298500.0
31,Austria,2007-12,8305700.000000001
32,Austria,2008-01,8311299.999999999
33,Austria,2008-04,8317000.0
34,Austria,2008-07,8325100.0
35,Austria,2008-12,8332900.0
36,Austria,2009-01,8335700.000000001
37,Austria,2009-04,8337600.0
38,Austria,2009-07,8343100.0
39,Austria,2009-12,8349500.0
40,Austria,2010-01,8353799.999999999
41,Austria,2010-04,8356700.000000001
42,Austria,2010-07,8362500.0
43,Austria,2010-12,8371400.0
44,Austria,2011-01,8377600.0
45,Austria,2011-04,8382500.0
46,Austria,2011-07,8391200.0
47,Austria,2011-12,8402800.0
48,Austria,2012-01,8411800.0
49,Austria,2012-04,8417900.0
50,Austria,2012-07,8429900.0
51,Austria,2012-12,8445700.0
52,Austria,2013-01,8457500.0
53,Austria,2013-04,8467700.0
54,Austria,2013-07,8483000.0
55,Austria,2013-12,8500800.0
56,Austria,2014-01,8516100.0
57,Austria,2014-04,8531400.0
58,Austria,2014-07,8552500.0
59,Austria,2014-12,8575800.0
60,Austria,2015-01,8592400.0
61,Austria,2015-04,8609300.0
62,Austria,2015-07,8637800.0
63,Austria,2015-12,8678700.0
64,Austria,2016-01,8712100.0
65,Austria,2016-04,8730700.0
66,Austria,2016-07,8749400.0
67,Austria,2016-12,8767000.0
68,Austria,2017-01,8776900.0
69,Austria,2017-04,8785800.0
70,Austria,2017-07,8800800.0
71,Austria,2017-12,8816700.0
72,Austria,2018-01,8824700.0
73,Austria,2018-04,8830200.0
74,Austria,2018-07,8841600.0
75,Austria,2018-12,8854400.0
76,Austria,2019-01,8862600.0
77,Austria,2019-04,8869400.0
78,Austria,2019-07,8882000.0
79,Austria,2019-12,8896600.0
80,Belgium,2000-01,10242000.0
81,Belgium,2000-04,10247000.0
82,Belgium,2000-07,10253000.0
83,Belgium,2000-12,10262000.0
84,Belgium,2001-01,10271000.0
85,Belgium,2001-04,10279000.0
86,Belgium,2001-07,10292000.0
87,Belgium,2001-12,10304000.0
88,Belgium,2002-01,10317000.0
89,Belgium,2002-04,10328000.0
90,Belgium,2002-07,10338000.0
91,Belgium,2002-12,10348000.0
92,Belgium,2003-01,10360000.0
93,Belgium,2003-04,10370000.0
94,Belgium,2003-07,10382000.0
95,Belgium,2003-12,10392000.0
96,Belgium,2004-01,10403000.0
97,Belgium,2004-04,10415000.0
98,Belgium,2004-07,10427000.0
99,Belgium,2004-12,10439000.0
100,Belgium,2005-01,10454000.0
101,Belgium,2005-04,10470000.0
102,Belgium,2005-07,10486000.0
103,Belgium,2005-12,10504000.0
104,Belgium,2006-01,10522000.0
105,Belgium,2006-04,10539000.0
106,Belgium,2006-07,10556000.0
107,Belgium,2006-12,10575000.0
108,Belgium,2007-01,10595000.0
109,Belgium,2007-04,10616000.0
110,Belgium,2007-07,10637000.0
111,Belgium,2007-12,10655000.0
112,Belgium,2008-01,10674000.0
113,Belgium,2008-04,10697000.0
114,Belgium,2008-07,10722000.0
115,Belgium,2008-12,10746000.0
116,Belgium,2009-01,10761000.0
117,Belgium,2009-04,10785000.0
118,Belgium,2009-07,10807000.0
119,Belgium,2009-12,10832000.0
120,Belgium,2010-01,10856000.0
121,Belgium,2010-04,10882000.0
122,Belgium,2010-07,10909000.0
123,Belgium,2010-12,10935000.0
124,Belgium,2011-01,11005000.0
125,Belgium,2011-04,11028000.0
126,Belgium,2011-07,11055000.0
127,Belgium,2011-12,11066000.0
128,Belgium,2012-01,11084000.0
129,Belgium,2012-04,11099000.0
130,Belgium,2012-07,11114000.0
131,Belgium,2012-12,11130000.0
132,Belgium,2013-01,11144000.0
133,Belgium,2013-04,11152000.0
134,Belgium,2013-07,11166000.0
135,Belgium,2013-12,11176000.0
136,Belgium,2014-01,11186000.0
137,Belgium,2014-04,11202000.0
138,Belgium,2014-07,11216000.0
139,Belgium,2014-12,11232000.0
140,Belgium,2015-01,11249000.0
141,Belgium,2015-04,11266000.0
142,Belgium,2015-07,11282000.0
143,Belgium,2015-12,11300000.0
144,Belgium,2016-01,11314000.0
145,Belgium,2016-04,11326000.0
146,Belgium,2016-07,11338000.0
147,Belgium,2016-12,11348000.0
148,Belgium,2017-01,11357000.0
149,Belgium,2017-04,11370000.0
150,Belgium,2017-07,11381000.0
151,Belgium,2017-12,11392000.0
152,Belgium,2018-01,11406000.0
153,Belgium,2018-04,11419000.0
154,Belgium,2018-07,11434000.0
155,Belgium,2018-12,11449000.0
156,Belgium,2019-01,11464000.0
157,Belgium,2019-04,11482000.0
158,Belgium,2019-07,11496000.0
159,Belgium,2019-12,11513000.0
160,Bulgaria,2000-01,8184100.0
161,Bulgaria,2000-04,8174700.0
162,Bulgaria,2000-07,8161700.0
163,Bulgaria,2000-12,8150500.0
164,Bulgaria,2001-01,8037900.0
165,Bulgaria,2001-04,7922400.0
166,Bulgaria,2001-07,7907200.0
167,Bulgaria,2001-12,7893600.0
168,Bulgaria,2002-01,7886000.0
169,Bulgaria,2002-04,7876900.0
170,Bulgaria,2002-07,7861500.0
171,Bulgaria,2002-12,7848100.0
172,Bulgaria,2003-01,7839200.0
173,Bulgaria,2003-04,7828700.0
174,Bulgaria,2003-07,7814300.0
175,Bulgaria,2003-12,7802700.0
176,Bulgaria,2004-01,7795700.0
177,Bulgaria,2004-04,7786900.0
178,Bulgaria,2004-07,7773300.0
179,Bulgaria,2004-12,7762200.0
180,Bulgaria,2005-01,7755500.0
181,Bulgaria,2005-04,7746500.0
182,Bulgaria,2005-07,7732800.0
183,Bulgaria,2005-12,7720800.0
184,Bulgaria,2006-01,7713600.0
185,Bulgaria,2006-04,7704400.0
186,Bulgaria,2006-07,7690800.0
187,Bulgaria,2006-12,7680400.0
188,Bulgaria,2007-01,7673800.0
189,Bulgaria,2007-04,7664600.0
190,Bulgaria,2007-07,7651300.0
191,Bulgaria,2007-12,7641000.0
192,Bulgaria,2008-01,7635700.0
193,Bulgaria,2008-04,7627600.0
194,Bulgaria,2008-07,7615400.0
195,Bulgaria,2008-12,7606900.0
196,Bulgaria,2009-01,7602900.0
197,Bulgaria,2009-04,7594800.0
198,Bulgaria,2009-07,7579000.0
199,Bulgaria,2009-12,7565900.0
200,Bulgaria,2010-01,7556600.0
201,Bulgaria,2010-04,7543800.0
202,Bulgaria,2010-07,7523400.0
203,Bulgaria,2010-12,7506900.0
204,Bulgaria,2011-01,7434600.0
205,Bulgaria,2011-04,7360000.0
206,Bulgaria,2011-07,7346600.0
207,Bulgaria,2011-12,7332600.0
208,Bulgaria,2012-01,7321900.0
209,Bulgaria,2012-04,7311900.0
210,Bulgaria,2012-07,7298800.0
211,Bulgaria,2012-12,7287700.0
212,Bulgaria,2013-01,7283800.0
213,Bulgaria,2013-04,7278500.0
214,Bulgaria,2013-07,7265100.0
215,Bulgaria,2013-12,7251100.0
216,Bulgaria,2014-01,7245900.0
217,Bulgaria,2014-04,7242100.0
218,Bulgaria,2014-07,7223700.0
219,Bulgaria,2014-12,7205900.0
220,Bulgaria,2015-01,7203100.0
221,Bulgaria,2015-04,7199400.0
222,Bulgaria,2015-07,7187100.0
223,Bulgaria,2015-12,7166700.0
224,Bulgaria,2016-01,7154000.0
225,Bulgaria,2016-04,7149500.0
226,Bulgaria,2016-07,7136700.0
227,Bulgaria,2016-12,7115500.0
228,Bulgaria,2017-01,7101900.0
